Date,Open,High,Low,Close,Adj Close,Volume,ts_polarity,twitter_volume
2018-12-26,37.07500076293945,39.307498931884766,36.68000030517578,39.29249954223633,37.9870719909668,234330000,0.070389,1133.0
2018-12-27,38.959999084472656,39.192501068115234,37.51750183105469,39.037498474121094,37.74055099487305,212468400,0.133635,1430.0
2018-12-28,39.375,39.630001068115234,38.63750076293945,39.057498931884766,37.7598876953125,169165600,0.072042,1949.0
2018-12-31,39.63249969482422,39.84000015258789,39.119998931884766,39.435001373291016,38.124847412109375,140014000,0.074369,2289.0
2019-01-02,38.72249984741211,39.712501525878906,38.557498931884766,39.47999954223633,38.16835403442383,148158800,0.051595,2235.0
2019-01-03,35.994998931884766,36.43000030517578,35.5,35.54750061035156,34.36649703979492,365248800,0.019443,1222.0
2019-01-04,36.13249969482422,37.13750076293945,35.95000076293945,37.064998626708984,35.83357620239258,234428400,0.121364,1293.0
2019-01-07,37.17499923706055,37.20750045776367,36.474998474121094,36.98249816894531,35.753822326660156,219111200,0.107714,1292.0
2019-01-08,37.38999938964844,37.95500183105469,37.130001068115234,37.6875,36.43540573120117,164101200,0.039248,1264.0
2019-01-09,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,37.054141998291016,180396400,0.093784,1336.0
2019-01-10,38.125,38.49250030517578,37.71500015258789,38.45000076293945,37.172569274902344,143122800,0.120585,960.0
2019-01-11,38.220001220703125,38.42499923706055,37.877498626708984,38.0724983215332,36.8076057434082,108092800,0.024679,1412.0
2019-01-14,37.712501525878906,37.817501068115234,37.30500030517578,37.5,36.25413131713867,129756800,0.124546,1082.0
2019-01-15,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,36.99613571166992,114843600,0.096273,1200.0
2019-01-16,38.27000045776367,38.970001220703125,38.25,38.73500061035156,37.44810485839844,122278800,0.05914,874.0
2019-01-17,38.54999923706055,39.415000915527344,38.314998626708984,38.96500015258789,37.67046356201172,119284800,0.060451,1743.0
2019-01-18,39.375,39.470001220703125,38.994998931884766,39.20500183105469,37.90248107910156,135004000,0.058256,5511.0
2019-01-22,39.102500915527344,39.182498931884766,38.154998779296875,38.32500076293945,37.051727294921875,121576000,0.051211,2143.0
2019-01-23,38.537498474121094,38.78499984741211,37.92499923706055,38.47999954223633,37.20156478881836,92522400,0.082394,1542.0
2019-01-24,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,36.90671157836914,101766000,0.037314,660.0
2019-01-25,38.869998931884766,39.532501220703125,38.58000183105469,39.439998626708984,38.12968444824219,134142000,0.09529,1410.0
2019-01-28,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,37.77680587768555,104768400,0.092704,999.0
2019-01-29,39.0625,39.532501220703125,38.52750015258789,38.66999816894531,37.38526153564453,166348800,0.123246,1114.0
2019-01-30,40.8125,41.537498474121094,40.057498931884766,41.3125,39.939971923828125,244439200,0.110406,823.0
2019-01-31,41.52750015258789,42.25,41.13999938964844,41.61000061035156,40.22758483886719,162958400,0.061634,795.0
2019-02-01,41.7400016784668,42.244998931884766,41.48249816894531,41.630001068115234,40.24692916870117,130672400,0.099071,1188.0
2019-02-04,41.852500915527344,42.915000915527344,41.81999969482422,42.8125,41.390132904052734,125982000,0.073528,1045.0
2019-02-05,43.21500015258789,43.77000045776367,43.087501525878906,43.54499816894531,42.098297119140625,144406400,0.071487,1194.0
2019-02-06,43.662498474121094,43.89250183105469,43.212501525878906,43.560001373291016,42.1128044128418,112958400,0.053297,1014.0
